2022-04-10 14:47:16.9897 INFO: Остановка движения по треку
2022-04-10 14:47:17.0898 INFO: Остановка движения по треку
2022-04-10 14:47:17.1897 INFO: Остановка движения по треку
2022-04-10 14:47:17.2908 INFO: Остановка движения по треку
2022-04-10 14:47:17.3908 INFO: Остановка движения по треку
2022-04-10 14:47:17.4908 INFO: Остановка движения по треку
2022-04-10 14:47:17.5908 INFO: Остановка движения по треку
2022-04-10 14:47:17.6907 INFO: Остановка движения по треку
2022-04-10 14:47:17.7908 INFO: Остановка движения по треку
2022-04-10 14:47:17.8896 INFO: Остановка движения по треку
2022-04-10 14:47:17.9898 INFO: Остановка движения по треку
2022-04-10 14:47:18.0906 INFO: Остановка движения по треку
2022-04-10 14:47:18.1898 INFO: Остановка движения по треку
2022-04-10 14:56:19.7302 INFO: Application started
2022-04-10 14:56:33.5098 INFO: Движение по треку
2022-04-10 14:56:33.5997 INFO: Движение по треку
2022-04-10 14:56:33.7017 INFO: Движение по треку
2022-04-10 14:56:33.8027 INFO: Движение по треку
2022-04-10 14:56:33.9018 INFO: Движение по треку
2022-04-10 14:56:34.0028 INFO: Движение по треку
2022-04-10 14:56:34.0998 INFO: Движение по треку
2022-04-10 14:56:34.1997 INFO: Движение по треку
2022-04-10 14:56:34.3017 INFO: Движение по треку
2022-04-10 14:56:34.4017 INFO: Движение по треку
2022-04-10 14:56:34.5017 INFO: Движение по треку
2022-04-10 14:56:34.6028 INFO: Движение по треку
2022-04-10 14:56:34.7018 INFO: Движение по треку
2022-04-10 14:56:34.8007 INFO: Движение по треку
2022-04-10 14:56:34.8998 INFO: Движение по треку
2022-04-10 14:56:35.0027 INFO: Движение по треку
2022-04-10 14:56:35.0998 INFO: Движение по треку
2022-04-10 14:56:35.2007 INFO: Движение по треку
2022-04-10 14:56:35.3008 INFO: Движение по треку
2022-04-10 14:56:35.4008 INFO: Движение по треку
2022-04-10 14:56:35.5007 INFO: Движение по треку
2022-04-10 14:56:35.6007 INFO: Движение по треку
2022-04-10 14:56:35.7007 INFO: Движение по треку
2022-04-10 14:56:35.8018 INFO: Движение по треку
2022-04-10 14:56:35.9017 INFO: Движение по треку
2022-04-10 14:56:36.0008 INFO: Движение по треку
2022-04-10 14:56:36.1018 INFO: Движение по треку
2022-04-10 14:56:36.2017 INFO: Движение по треку
2022-04-10 14:56:36.3007 INFO: Движение по треку
2022-04-10 14:56:36.3997 INFO: Движение по треку
2022-04-10 14:56:36.5028 INFO: Движение по треку
2022-04-10 14:56:36.6017 INFO: Движение по треку
2022-04-10 14:56:36.7007 INFO: Движение по треку
2022-04-10 14:56:36.8017 INFO: Движение по треку
2022-04-10 14:56:36.9007 INFO: Движение по треку
2022-04-10 14:56:37.0007 INFO: Движение по треку
2022-04-10 14:56:37.1007 INFO: Движение по треку
2022-04-10 14:56:37.2007 INFO: Движение по треку
2022-04-10 14:56:37.3007 INFO: Движение по треку
2022-04-10 14:56:37.4007 INFO: Движение по треку
2022-04-10 14:56:37.5007 INFO: Движение по треку
2022-04-10 14:56:37.6007 INFO: Движение по треку
2022-04-10 14:56:37.6997 INFO: Движение по треку
2022-04-10 14:56:37.8017 INFO: Движение по треку
2022-04-10 14:56:37.9007 INFO: Движение по треку
2022-04-10 14:56:37.9997 INFO: Движение по треку
2022-04-10 14:56:38.1027 INFO: Движение по треку
2022-04-10 14:56:38.2017 INFO: Движение по треку
2022-04-10 14:56:38.3016 INFO: Движение по треку
2022-04-10 14:56:38.4017 INFO: Движение по треку
2022-04-10 14:56:38.5017 INFO: Движение по треку
2022-04-10 14:56:38.6007 INFO: Движение по треку
2022-04-10 14:56:38.7007 INFO: Движение по треку
2022-04-10 14:56:38.8017 INFO: Движение по треку
2022-04-10 14:56:38.9006 INFO: Движение по треку
2022-04-10 14:56:39.0017 INFO: Движение по треку
2022-04-10 14:56:39.1007 INFO: Движение по треку
2022-04-10 14:56:39.2007 INFO: Движение по треку
2022-04-10 14:56:39.3007 INFO: Движение по треку
2022-04-10 14:56:39.3997 INFO: Движение по треку
2022-04-10 14:56:39.5007 INFO: Движение по треку
2022-04-10 14:56:39.6017 INFO: Движение по треку
2022-04-10 14:56:39.7017 INFO: Движение по треку
2022-04-10 14:56:39.8017 INFO: Движение по треку
2022-04-10 14:56:39.9007 INFO: Движение по треку
2022-04-10 14:56:40.0017 INFO: Движение по треку
2022-04-10 14:56:40.1007 INFO: Движение по треку
2022-04-10 14:56:40.2007 INFO: Движение по треку
2022-04-10 14:56:40.3017 INFO: Движение по треку
2022-04-10 14:56:40.4017 INFO: Движение по треку
2022-04-10 14:56:40.5017 INFO: Движение по треку
2022-04-10 14:56:40.6006 INFO: Движение по треку
2022-04-10 14:56:40.7007 INFO: Движение по треку
2022-04-10 14:56:40.7997 INFO: Движение по треку
2022-04-10 14:56:40.8997 INFO: Движение по треку
2022-04-10 14:56:41.0007 INFO: Движение по треку
2022-04-10 14:56:41.1007 INFO: Движение по треку
2022-04-10 14:56:41.2007 INFO: Движение по треку
2022-04-10 14:56:41.3007 INFO: Движение по треку
2022-04-10 14:56:41.3997 INFO: Движение по треку
2022-04-10 14:56:41.5007 INFO: Движение по треку
2022-04-10 14:56:41.5997 INFO: Движение по треку
2022-04-10 14:56:41.7017 INFO: Движение по треку
2022-04-10 14:56:41.8007 INFO: Движение по треку
2022-04-10 14:56:41.9007 INFO: Движение по треку
2022-04-10 14:56:42.0007 INFO: Движение по треку
2022-04-10 14:56:42.1007 INFO: Движение по треку
2022-04-10 14:56:42.2007 INFO: Движение по треку
2022-04-10 14:56:42.3007 INFO: Движение по треку
2022-04-10 14:56:42.4006 INFO: Движение по треку
2022-04-10 14:56:42.5007 INFO: Движение по треку
2022-04-10 14:56:42.6006 INFO: Движение по треку
2022-04-10 14:56:42.7027 INFO: Движение по треку
2022-04-10 14:56:42.8017 INFO: Движение по треку
2022-04-10 14:56:42.9007 INFO: Движение по треку
2022-04-10 14:56:43.0006 INFO: Движение по треку
2022-04-10 14:56:43.1007 INFO: Движение по треку
2022-04-10 14:56:43.2007 INFO: Движение по треку
2022-04-10 14:56:43.3007 INFO: Движение по треку
2022-04-10 14:56:43.4017 INFO: Движение по треку
2022-04-10 14:56:43.4997 INFO: Движение по треку
2022-04-10 14:56:43.6027 INFO: Движение по треку
2022-04-10 14:56:43.7017 INFO: Движение по треку
2022-04-10 14:56:43.8006 INFO: Движение по треку
2022-04-10 14:56:43.9007 INFO: Движение по треку
2022-04-10 14:56:44.0017 INFO: Движение по треку
2022-04-10 14:56:44.1007 INFO: Движение по треку
2022-04-10 14:56:44.2007 INFO: Движение по треку
2022-04-10 14:56:44.3007 INFO: Движение по треку
2022-04-10 14:56:44.4007 INFO: Движение по треку
2022-04-10 14:56:44.5007 INFO: Движение по треку
2022-04-10 14:56:44.6017 INFO: Движение по треку
2022-04-10 14:56:44.7037 INFO: Движение по треку
2022-04-10 14:56:44.8027 INFO: Движение по треку
2022-04-10 14:56:44.9027 INFO: Движение по треку
2022-04-10 14:56:45.0027 INFO: Движение по треку
2022-04-10 14:56:45.1006 INFO: Движение по треку
2022-04-10 14:56:45.2017 INFO: Движение по треку
2022-04-10 14:56:45.3027 INFO: Движение по треку
2022-04-10 14:56:45.4007 INFO: Движение по треку
2022-04-10 14:56:45.5007 INFO: Движение по треку
2022-04-10 14:56:45.6007 INFO: Движение по треку
2022-04-10 14:56:45.7017 INFO: Движение по треку
2022-04-10 14:56:45.8007 INFO: Движение по треку
